=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015MAY30 183000  4.5  978.9  77.0  4.5 4.5 5.7  MW     OFF  OFF  -36.76 -68.69  EYE    -99   26.6   14.64  116.20  SPRL   GOES15 27.6 
2015MAY30 190000  4.5  978.8  77.0  4.4 4.9 5.5  MW  ON  OFF  -46.06 -68.01  EYE    -99   26.6   14.73  116.30  FCST   GOES15 27.6 
2015MAY30 193000  4.5  978.8  77.0  4.3 3.6 3.6  none   ON  OFF  -49.26 -67.82  UNIFRM   NA   26.6   14.77  116.35  FCST   GOES15 27.6 
2015MAY30 200000  4.5  978.8  77.0  4.5 5.5 5.5  none  OFF  OFF  -45.56 -68.10  EYE    -99   26.6   14.81  116.40  FCST   GOES15 27.6 
2015MAY30 203000  4.7  975.0  82.2  4.7 5.6 5.6  none  OFF  OFF  -42.86 -68.55  EYE    -99   26.6   14.84  116.45  FCST   GOES15 27.6 
2015MAY30 210000  4.7  975.0  82.2  4.6 3.8 3.8  none   ON  OFF  -50.16 -68.76  UNIFRM   NA   26.6   14.88  116.50  FCST   GOES15 27.5 
2015MAY30 213000  4.7  975.0  82.2  4.7 5.4 5.4  none  OFF  OFF  -44.46 -67.89  EYE    -99   26.6   14.92  116.55  FCST   GOES15 27.5 
2015MAY30 220000  4.9  971.0  87.4  4.9 5.6 5.6  none  OFF  OFF  -29.06 -67.52  EYE    -99   26.6   14.96  116.60  FCST   GOES15 27.5 
2015MAY30 223000  4.9  971.0  87.4  4.9 5.3 5.3  none  OFF  OFF  -43.36 -66.93  EYE    -99   26.6   14.99  116.65  FCST   GOES15 27.5 
2015MAY30 230000  5.0  969.0  90.0  5.0 3.9 3.9  none  OFF  OFF  -50.16 -66.85  UNIFRM   NA   26.6   15.03  116.70  FCST   GOES15 27.5 
2015MAY30 233000  5.0  969.0  90.0  4.8 4.5 4.5  none   ON  OFF  -54.26 -67.85  EMBC     NA   26.6   15.06  116.75  FCST   GOES15 27.5 
2015MAY31 000000  5.0  969.0  90.0  4.7 4.5 4.5  none   ON  OFF  -52.96 -68.58  EMBC     NA   39.1   15.10  116.80  FCST   GOES15 27.4 
2015MAY31 003000  5.0  969.0  90.0  4.7 4.5 4.5  none   ON  OFF  -56.56 -68.47  EMBC     NA   39.1   15.13  116.85  FCST   GOES15 27.4 
